Gender, Martial_Status, checking_account, Duration, Credit_history, Purpose, Credit_amount, Saving_Account, Employment, Installment, Debtors, Residence, Propety, Age, Other_installment, Housing, Credits, Job, Number_of_People, Telephone, Foreign_worker, Type_of_customer
male, single, 0 DM, 6, other credits existing, radio/television, 1169, unknown, >= 7 years, 4, none, 4, real estate, 67, none, own, 2, skilled employee, 1, yes, yes, 1
female, divorced/separated/married, 0-200 DM, 48, existing paid back duly till now, radio/television, 5951, <100 DM, 1-4 years, 2, none, 2, real estate, 22, none, own, 1, skilled employee, 1, none, yes, 2
male, single, no account, 12, other credits existing, education, 2096, <100 DM, 4-7 years, 2, none, 3, real estate, 49, none, own, 1, unskilled resident, 2, none, yes, 1
male, single, 0 DM, 42, existing paid back duly till now, furniture/equipment, 7882, <100 DM, 4-7 years, 2, guarantor, 4, society saving agreement, 45, none, for free, 1, skilled employee, 2, none, yes, 1
male, single, 0 DM, 24, delay in paying off, new car, 4870, <100 DM, 1-4 years, 3, none, 4, np property, 53, none, for free, 2, skilled employee, 2, none, yes, 2
male, single, no account, 36, existing paid back duly till now, education, 9055, unknown, 1-4 years, 2, none, 4, np property, 35, none, for free, 1, unskilled resident, 2, yes, yes, 1
male, single, no account, 24, existing paid back duly till now, furniture/equipment, 2835, <500-1000 DM, >= 7 years, 3, none, 4, society saving agreement, 53, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 36, existing paid back duly till now, used car, 6948, <100 DM, 1-4 years, 2, none, 2, other, 35, none, rent, 1, manager/self-employed, 1, yes, yes, 1
male, divorced/separated, no account, 12, existing paid back duly till now, radio/television, 3059, >=100 DM, 4-7 years, 2, none, 4, real estate, 61, none, own, 1, unskilled resident, 1, none, yes, 1
male, married/widowed, 0-200 DM, 30, other credits existing, new car, 5234, <100 DM, unemplyed, 4, none, 2, other, 28, none, own, 2, manager/self-employed, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 12, existing paid back duly till now, new car, 1295, <100 DM, <1 year, 3, none, 1, other, 25, none, rent, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 48, existing paid back duly till now, business, 4308, <100 DM, <1 year, 3, none, 4, society saving agreement, 24, none, rent, 1, skilled employee, 1, none, yes, 2
female, divorced/separated/married, 0-200 DM, 12, existing paid back duly till now, radio/television, 1567, <100 DM, 1-4 years, 1, none, 1, other, 22, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 24, other credits existing, new car, 1199, <100 DM, >= 7 years, 4, none, 4, other, 60, none, own, 2, unskilled resident, 1, none, yes, 2
female, divorced/separated/married, 0 DM, 15, existing paid back duly till now, new car, 1403, <100 DM, 1-4 years, 2, none, 4, other, 28, none, rent, 1, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0 DM, 24, existing paid back duly till now, radio/television, 1282, <100-500 DM, 1-4 years, 4, none, 2, other, 32, none, own, 1, unskilled resident, 1, none, yes, 2
male, single, no account, 24, other credits existing, radio/television, 2424, unknown, >= 7 years, 4, none, 4, society saving agreement, 53, none, own, 2, skilled employee, 1, none, yes, 1
male, single, 0 DM, 30, all paid back duly, business, 8072, unknown, <1 year, 2, none, 3, other, 25, bank, own, 3, skilled employee, 1, none, yes, 1
female, divorced/separated/married, 0-200 DM, 24, existing paid back duly till now, used car, 12579, <100 DM, >= 7 years, 4, none, 2, np property, 44, none, for free, 1, manager/self-employed, 1, yes, yes, 2
male, single, no account, 24, existing paid back duly till now, radio/television, 3430, <500-1000 DM, >= 7 years, 3, none, 2, other, 31, none, own, 1, skilled employee, 2, yes, yes, 1
male, single, no account, 9, other credits existing, new car, 2134, <100 DM, 1-4 years, 4, none, 4, other, 48, none, own, 3, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 6, existing paid back duly till now, radio/television, 2647, <500-1000 DM, 1-4 years, 2, none, 3, real estate, 44, none, rent, 1, skilled employee, 2, none, yes, 1
male, single, 0 DM, 10, other credits existing, new car, 2241, <100 DM, <1 year, 1, none, 3, real estate, 48, none, rent, 2, unskilled resident, 2, none, no, 1
male, single, 0-200 DM, 12, other credits existing, used car, 1804, <100-500 DM, <1 year, 3, none, 4, society saving agreement, 44, none, own, 1, skilled employee, 1, none, yes, 1
male, married/widowed, no account, 10, other credits existing, furniture/equipment, 2069, unknown, 1-4 years, 2, none, 1, other, 26, none, own, 2, skilled employee, 1, none, no, 1
male, single, 0 DM, 6, existing paid back duly till now, furniture/equipment, 1374, <100 DM, 1-4 years, 1, none, 2, real estate, 36, bank, own, 1, unskilled resident, 1, yes, yes, 1
male, married/widowed, no account, 6, all paid back duly, radio/television, 426, <100 DM, >= 7 years, 4, none, 4, other, 39, none, own, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, >=200 DM, 12, all at this bank paid back duly, radio/television, 409, >=100 DM, 1-4 years, 3, none, 3, real estate, 42, none, rent, 2, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 7, existing paid back duly till now, radio/television, 2415, <100 DM, 1-4 years, 3, guarantor, 2, real estate, 34, none, own, 1, skilled employee, 1, none, yes, 1
male, single, 0 DM, 60, delay in paying off, business, 6836, <100 DM, >= 7 years, 3, none, 4, np property, 63, none, own, 2, skilled employee, 1, yes, yes, 2
male, married/widowed, 0-200 DM, 18, existing paid back duly till now, business, 1913, >=100 DM, <1 year, 3, none, 3, real estate, 36, bank, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0 DM, 24, existing paid back duly till now, furniture/equipment, 4020, <100 DM, 1-4 years, 2, none, 2, other, 27, stores, own, 1, skilled employee, 1, none, yes, 1
male, single, 0-200 DM, 18, existing paid back duly till now, new car, 5866, <100-500 DM, 1-4 years, 2, none, 2, other, 30, none, own, 2, skilled employee, 1, yes, yes, 1
male, single, no account, 12, other credits existing, business, 1264, unknown, >= 7 years, 4, none, 4, np property, 57, none, rent, 1, unskilled resident, 1, none, yes, 1
female, divorced/separated/married, >=200 DM, 12, existing paid back duly till now, furniture/equipment, 1474, <100 DM, <1 year, 4, none, 1, society saving agreement, 33, bank, own, 1, manager/self-employed, 1, yes, yes, 1
male, single, 0-200 DM, 45, other credits existing, radio/television, 4746, <100 DM, <1 year, 4, none, 2, society saving agreement, 25, none, own, 2, unskilled resident, 1, none, yes, 2
male, single, no account, 48, other credits existing, education, 6110, <100 DM, 1-4 years, 1, none, 3, np property, 31, bank, for free, 1, skilled employee, 1, yes, yes, 1
male, single, >=200 DM, 18, existing paid back duly till now, radio/television, 2100, <100 DM, 1-4 years, 4, co-applicant, 2, real estate, 37, stores, own, 1, skilled employee, 1, none, yes, 2
male, single, >=200 DM, 10, existing paid back duly till now, domestic appliances, 1225, <100 DM, 1-4 years, 2, none, 2, other, 37, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 9, existing paid back duly till now, radio/television, 458, <100 DM, 1-4 years, 4, none, 3, real estate, 24, none, own, 1, skilled employee, 1, none, yes, 1
male, single, no account, 30, existing paid back duly till now, radio/television, 2333, <500-1000 DM, >= 7 years, 4, none, 2, other, 30, bank, own, 1, manager/self-employed, 1, none, yes, 1
male, divorced/separated, 0-200 DM, 12, existing paid back duly till now, radio/television, 1158, <500-1000 DM, 1-4 years, 3, none, 1, other, 26, none, own, 1, skilled employee, 1, yes, yes, 1
male, single, 0-200 DM, 18, delay in paying off, repairs, 6204, <100 DM, 1-4 years, 2, none, 4, real estate, 44, none, own, 1, unskilled resident, 2, yes, yes, 1
