Sales_Date,Store,Month,Weekday,Sales,Unit_Price,State,Climate,Promo,Test20t,Test50t
1/07/2008,51,1,2,50.72,0.9637224,SP,TEMPERED / HUMID,0,0,0
1/08/2008,51,1,3,235.64,0.88045323,SP,TEMPERED / HUMID,1,0,0
1/09/2008,51,1,4,40.77,0.68481727,SP,TEMPERED / HUMID,0,0,0
1/10/2008,51,1,5,2193.2,0.36999362,SP,TEMPERED / HUMID,0,0,0
1/11/2008,51,1,6,135.16,0.98993785,SP,TEMPERED / HUMID,0,0,0
1/12/2008,51,1,7,168.92,0.74792801,SP,TEMPERED / HUMID,0,0,0
2/07/2008,51,2,5,60.61,0.95644283,SP,TEMPERED / HUMID,0,0,0
2/08/2008,51,2,6,164.11,0.8901956,SP,TEMPERED / HUMID,1,0,0
2/09/2008,51,2,7,97.9,0.98335036,SP,TEMPERED / HUMID,0,0,0
2/10/2008,51,2,1,145.47,0.68969547,SP,TEMPERED / HUMID,0,0,0
2/11/2008,51,2,2,92.1,0.99001086,SP,TEMPERED / HUMID,0,0,0
2/12/2008,51,2,3,106.02,0.68854933,SP,TEMPERED / HUMID,0,0,0
3/07/2008,51,3,6,15.28,0.98036649,SP,TEMPERED / HUMID,0,0,0
3/08/2008,51,3,7,95.9,0.98686131,SP,TEMPERED / HUMID,0,0,0
3/09/2008,51,3,1,426.99,0.57003677,SP,TEMPERED / HUMID,1,0,0
3/10/2008,51,3,2,159.2,0.68988693,SP,TEMPERED / HUMID,0,0,0
3/11/2008,51,3,3,128.11,0.98985247,SP,TEMPERED / HUMID,0,0,0
3/12/2008,51,3,4,751.15,0.37995074,SP,TEMPERED / HUMID,1,0,0
4/07/2008,51,4,2,23.36,0.98030822,SP,TEMPERED / HUMID,0,0,0
4/08/2008,51,4,3,53.02,0.9275745,SP,TEMPERED / HUMID,0,0,0
4/09/2008,51,4,4,81.36,0.89048673,SP,TEMPERED / HUMID,1,0,0
4/10/2008,51,4,5,133.53,0.68995731,SP,TEMPERED / HUMID,0,0,0
4/11/2008,51,4,6,108.11,0.78716122,SP,TEMPERED / HUMID,0,0,0
5/07/2008,51,5,4,23.02,0.98132059,SP,TEMPERED / HUMID,0,0,0
5/08/2008,51,5,5,87.17,0.71503958,SP,TEMPERED / HUMID,0,0,0
5/09/2008,51,5,6,92.16,0.77983941,SP,TEMPERED / HUMID,1,0,0
5/10/2008,51,5,7,121.47,0.69012925,SP,TEMPERED / HUMID,0,0,0
5/11/2008,51,5,1,336.12,0.57967393,SP,TEMPERED / HUMID,1,0,0
5/12/2008,51,5,2,63.86,0.75039148,SP,TEMPERED / HUMID,0,0,0
6/07/2008,51,6,7,14.66,0.98021828,SP,TEMPERED / HUMID,0,0,0
6/08/2008,51,6,1,133.54,0.67859817,SP,TEMPERED / HUMID,1,0,0
6/09/2008,51,6,2,189.81,0.78014857,SP,TEMPERED / HUMID,1,0,0
6/10/2008,51,6,3,62.64,0.6901341,SP,TEMPERED / HUMID,0,0,0
6/11/2008,51,6,4,102.98,0.79005632,SP,TEMPERED / HUMID,0,0,0
6/12/2008,51,6,5,204.54,0.58003325,SP,TEMPERED / HUMID,0,0,0
7/07/2008,51,7,2,29.65,0.97942664,SP,TEMPERED / HUMID,0,0,0
7/08/2008,51,7,3,31.66,0.78963992,SP,TEMPERED / HUMID,1,0,0
7/09/2008,51,7,4,87.75,0.7797151,SP,TEMPERED / HUMID,1,0,0
7/10/2008,51,7,5,286.63,0.686739,SP,TEMPERED / HUMID,0,0,0
7/11/2008,51,7,6,105.4,0.72305503,SP,TEMPERED / HUMID,1,0,0
7/12/2008,51,7,7,63.16,0.580114,SP,TEMPERED / HUMID,0,0,0
7/13/2008,51,7,1,29.43,0.97995243,SP,TEMPERED / HUMID,0,0,0
7/14/2008,51,7,2,15.82,0.97977244,SP,TEMPERED / HUMID,0,0,0
